	SporangiaReplicate3	SporangiaReplicate2	SporangiaReplicate1	ZoosporeReplicate1	ZoosporeReplicate2	ZoosporeReplicate3
rna-XM_006675142.1	3.3231155779669	2.67169432249494	1.8384639189127	0	4.12386925683625	3.64271203303638
MSTRG.1.2	0	0	0	0	0	2.42847468869092
rna-XM_006676140.1	1.32924623118676	0.890564774164979	0	9.8463689873187	0	2.42847468869092
MSTRG.3.1	0	0	0	0	0	0
MSTRG.3.2	0	0	0	0	0	0
MSTRG.3.3	0	0	0	0	0	0
MSTRG.3.4	0	0	0	0	0	0
MSTRG.3.5	0	0	0	0	0	0
rna-XM_006675143.1	0	0	0	0	0	0
MSTRG.4.1	17.2802010054279	12.4679068383097	15.626943310758	3.93854759492748	1.37462308561208	1.21423734434546
rna-XM_006674833.1	0	0	0	0	0	0
MSTRG.5.1	0	0	0	0	0	0
MSTRG.5.2	0.66462311559338	0	0	0	0	0
rna-XM_006675610.1	0	0	0	0	0	0
MSTRG.6.1	0	0	0	0	0	0
rna-XM_006675845.1	0	0	0	0	0	0
rna-XM_006675145.1	101.022713570194	85.494218319838	87.3270361483533	259.944141265214	252.930647752623	231.919332769983
MSTRG.8.1	0	0	0	0	0	0
MSTRG.8.2	1.99386934678014	0.890564774164979	0.919231959456351	0	0	0
rna-XM_006675146.1	0	0	0	0	0	0
MSTRG.8.4	0	0	0	0	0	0
rna-XM_006676141.1	234.611959804463	235.999665153719	227.050293985719	193.973469050178	155.332408674165	161.493566797946
MSTRG.10.1	0.66462311559338	1.78112954832996	0.919231959456351	1.96927379746374	1.37462308561208	1.21423734434546
rna-XM_006675147.1	0	0	0	0	0	0
rna-XM_006675030.1	0	0	0	0	0	0
MSTRG.11.1	0	0	0	0	1.37462308561208	0
rna-XM_006676142.1	0	0	0	0	0	0
MSTRG.11.3	0	0	0	0	0	0
rna-XM_006674841.1	0	0	0	0	0	0
rna-XM_006675148.1	5.31698492474704	8.01508296748481	13.7884793918453	2.95391069619561	2.74924617122417	6.07118672172729
MSTRG.12.2	0	0	0	0	0	0
rna-XM_006675611.1	66.462311559338	65.0112285140435	73.5385567565081	10.8310058860506	10.9969846848967	9.71389875476367
MSTRG.14.1	37.8835175888227	40.0754148374241	36.769278378254	83.694136392209	112.719093020191	112.924073024128
rna-XM_006674835.1	0	0	0	0	0	0
MSTRG.15.1	0	0.890564774164979	0	0	0	0
rna-XM_006675846.1	0	0	0	0	0	0
rna-XM_006675847.1	0	0	0	0	0	0
MSTRG.16.1	5.98160804034042	5.34338864498987	4.59615979728176	0.98463689873187	1.37462308561208	1.21423734434546
MSTRG.17.1	0	0	0	0	0	0
MSTRG.17.2	0	0	0	0	0	0
MSTRG.17.3	0	0	0	0	0	0
MSTRG.17.4	0	0	0	0	0	0
rna-XM_006675022.1	0	0	0	0	0	0
rna-XM_006675149.1	35.8896482420425	24.0452489024544	23.9000309458651	22.646648670833	23.3685924554054	20.6420348538728
MSTRG.19.1	3.3231155779669	4.4528238708249	1.8384639189127	2.95391069619561	0	0
MSTRG.20.1	0	0	0	0	0	0
MSTRG.20.2	0.66462311559338	0	0.919231959456351	1.96927379746374	5.49849234244833	4.85694937738184
rna-XM_006675612.1	1026.84271359177	908.376069648279	993.689748172315	3815.467982586	5377.52551091447	4453.82257905914
MSTRG.22.1	0	0	0	0	0	0
rna-XM_006675613.1	0	0	0	0	0	0
rna-XM_006675087.1	0	0	0	0	0	0
rna-XM_006675150.1	51.8406030162837	42.747109159919	50.5577577700993	5.90782139239122	5.49849234244833	7.28542406607275
MSTRG.24.1	0	0.890564774164979	0	0.98463689873187	9.62236159928458	7.28542406607275
rna-XM_006675614.1	0	0	0	0	0	0
MSTRG.25.1	0	0	0	0	0	0
MSTRG.25.2	0	0	0	0	0	0
MSTRG.25.3	0	0	0	0	0	0
MSTRG.25.4	0	0	0	0	0	0
rna-XM_006675848.1	0	0.890564774164979	0	2.95391069619561	1.37462308561208	3.64271203303638
MSTRG.25.6	0	0	0	0	0	0
MSTRG.26.1	0	0.890564774164979	0	0	0	0
MSTRG.26.2	0	0	0.919231959456351	0.98463689873187	1.37462308561208	2.42847468869092
MSTRG.26.3	0	0	0	0	0	0
rna-XM_006675765.1	0	0	0	0	0	0
rna-XM_006676143.1	73.1085427152718	45.4188034824139	61.5885412835755	195.942742847642	296.91858649221	251.34713027951
MSTRG.28.1	0.66462311559338	0.890564774164979	0	1.96927379746374	0	0
MSTRG.28.2	1.32924623118676	0	0	0	1.37462308561208	2.42847468869092
MSTRG.29.1	1.99386934678014	1.78112954832996	0.919231959456351	19.6927379746374	41.2386925683625	33.9986456416729
rna-XM_006675849.1	5.31698492474704	2.67169432249494	8.27308763510716	24.6159224682968	34.3655771403021	29.141696264291
rna-XM_006675615.1	432.005025135697	415.893749535045	464.212139525457	2110.0768739824	3420.06223700286	2706.53504054603
rna-XM_006675766.1	84.4071356803593	58.7772750948886	84.5693402699843	33.4776545568836	23.3685924554054	30.3559336086365
MSTRG.33.1	1.32924623118676	0.890564774164979	0	1.96927379746374	0	0
MSTRG.33.2	0	0	1.8384639189127	0	0	0
MSTRG.33.3	0	0	0	0	0	0
rna-XM_006676144.1	0	0	0	0	0	0
MSTRG.34.1	59.8160804034042	68.5734876107034	56.0731495268374	64.0013984175716	71.4804004518283	50.9979684625093
rna-XM_006674935.1	0	0	0	0	0	0
MSTRG.35.1	6.6462311559338	5.34338864498987	8.27308763510716	2.95391069619561	5.49849234244833	6.07118672172729
rna-XM_006675850.1	337.628542721437	269.841126571989	255.546484728866	13.7849165822462	15.1208539417329	9.71389875476367
MSTRG.37.1	0.66462311559338	0	0	0	0	0
rna-XM_006675616.1	0	0.890564774164979	0	0.98463689873187	0	1.21423734434546
rna-XM_006675851.1	240.593567844804	194.143120767965	247.273397093758	122.094975442752	295.543963406598	184.56407634051
rna-XM_006675088.1	11.9632160806808	9.79621251581477	11.9500154729326	5.90782139239122	12.3716077705087	10.9281360991091
MSTRG.40.1	0.66462311559338	0.890564774164979	0	0.98463689873187	1.37462308561208	0
rna-XM_006675032.1	0	0	0	0	0	0
rna-XM_006676145.1	31.9019095484822	20.4829898057945	21.1423350674961	29.5391069619561	26.1178386266296	23.0705095425637
MSTRG.42.1	0	0.890564774164979	0	0	0	0
rna-XM_006675852.1	0	0	0	0	0	0
rna-XM_006675151.1	3.98773869356028	4.4528238708249	3.6769278378254	5.90782139239122	6.87311542806041	10.9281360991091
MSTRG.44.1	7.31085427152718	6.23395341915485	5.51539175673811	14.7695534809781	15.1208539417329	18.2135601651819
rna-XM_006674816.1	0	0	0	0	0	0
MSTRG.45.1	0	0	0	0.98463689873187	0	1.21423734434546
rna-XM_006675089.1	0	0	0	0	0	0
MSTRG.45.3	0	0	0	0	0	0
MSTRG.46.1	0	0.890564774164979	0	0	0	0
rna-XM_006675152.1	0	0	0	0	0	0
MSTRG.47.1	1.32924623118676	1.78112954832996	2.75769587836905	5.90782139239122	10.9969846848967	4.85694937738184
rna-XM_006676146.1	0	0.890564774164979	0	0	0	0
rna-XM_006675153.1	0	0	0	0	0	0
MSTRG.48.1	11.9632160806808	8.90564774164979	12.8692474323889	36.4315652530792	21.9939693697933	16.9993228208364
rna-XM_006675767.1	0	0	0	0	0	0
rna-XM_006675090.1	1.32924623118676	4.4528238708249	1.8384639189127	15.7541903797099	6.87311542806041	9.71389875476367
MSTRG.49.1	1.32924623118676	0	0	0.98463689873187	0	0
rna-XM_006675853.1	0	0	0	0	0	0
MSTRG.50.1	0	0	0	0	0	0
MSTRG.51.1	5.31698492474704	5.34338864498987	5.51539175673811	3.93854759492748	5.49849234244833	4.85694937738184
MSTRG.52.1	4.65236180915366	5.34338864498987	2.75769587836905	7.87709518985496	2.74924617122417	10.9281360991091
MSTRG.53.1	1.32924623118676	1.78112954832996	0	0	1.37462308561208	0
MSTRG.53.2	1.32924623118676	0	0.919231959456351	1.96927379746374	2.74924617122417	4.85694937738184
rna-XM_006675617.1	0	0	0	0	0	0
rna-XM_006676147.1	0	0	0	0	0	0
MSTRG.54.1	3.3231155779669	4.4528238708249	3.6769278378254	7.87709518985496	5.49849234244833	2.42847468869092
rna-XM_006675091.1	0	0	0	0	0	0
MSTRG.54.3	0	0	0	0	0	0
rna-XM_006675154.1	0	0	0	0	0	0
MSTRG.55.1	0.66462311559338	1.78112954832996	0.919231959456351	0	0	0
MSTRG.55.2	0	0	0	0	0	0
MSTRG.55.3	0	0	0	0	0	0
rna-XM_006675092.1	0	0	0	0	0	0
MSTRG.56.1	2.65849246237352	1.78112954832996	0.919231959456351	0.98463689873187	2.74924617122417	3.64271203303638
rna-XM_006675618.1	0	0	0	0	0	0
MSTRG.57.1	0.66462311559338	0	0	0	0	0
MSTRG.57.2	0	0	0	0	0	0
rna-XM_006675854.1	0	0	0	0	0	0
MSTRG.57.4	0	0	0	0	0	0
MSTRG.57.5	0	0	0	0	0	0
MSTRG.58.1	0	0.890564774164979	0	0	0	0
MSTRG.59.1	0	0	0.919231959456351	7.87709518985496	0	0
rna-XM_006675155.1	0	0	0	0	0	0
MSTRG.60.1	0	0	0	0	0	0
rna-XM_006675156.1	0	0	0	0	0	0
MSTRG.61.1	7.97547738712056	9.79621251581477	3.6769278378254	4.92318449365935	4.12386925683625	2.42847468869092
rna-XM_006675157.1	5.98160804034042	6.23395341915485	1.8384639189127	11.8156427847824	26.1178386266296	36.4271203303638
MSTRG.62.2	0	0	0.919231959456351	0	0	0
MSTRG.63.1	0	0	0	0	0	0
rna-XM_006675855.1	51.1759799006903	47.1999330307439	52.396221689012	123.079612341484	144.335423989269	144.49424397711
MSTRG.65.1	0	0	0.919231959456351	0	1.37462308561208	1.21423734434546
rna-XM_006675039.1	0	0	0	0	0	0
MSTRG.65.3	0	0	0	0	0	0
rna-XM_006675158.1	0	0	0	0	0	0
rna-XM_006675159.1	17.2802010054279	7.12451819331983	19.3038711485834	28.5544700632242	32.99095405469	32.7844082973274
rna-XM_006675160.1	54.4990954786572	61.4489694173836	54.2346856079247	128.002796835143	196.571101242528	201.563399161346
MSTRG.68.1	0	0	0	0	0	0
MSTRG.68.2	0	0	0	0	0	0
MSTRG.68.3	0.66462311559338	0.890564774164979	0.919231959456351	1.96927379746374	4.12386925683625	2.42847468869092
rna-XM_006675556.1	0	0	0	0	0	0
rna-XM_006676148.1	17.2802010054279	20.4829898057945	12.8692474323889	7.87709518985496	6.87311542806041	4.85694937738184
rna-XM_006675856.1	53.1698492474704	40.0754148374241	56.9923814862938	22.646648670833	23.3685924554054	23.0705095425637
MSTRG.71.1	0	0	0.919231959456351	0.98463689873187	0	0
rna-XM_006675768.1	0	0	0	0	0	0
MSTRG.72.1	5.31698492474704	2.67169432249494	6.43462371619446	3.93854759492748	0	0
rna-XM_006675857.1	0	0	0	0	0	0
rna-XM_006675161.1	17.9448241210213	25.8263784507844	22.0615670269524	8.86173208858683	2.74924617122417	12.1423734434546
rna-XM_006676149.1	38.548140704416	38.2942852890941	34.011582499885	5.90782139239122	2.74924617122417	7.28542406607275
MSTRG.75.1	0.66462311559338	0.890564774164979	0	0	1.37462308561208	2.42847468869092
rna-XM_006675162.1	136.247738696643	130.022457028087	153.511737229211	283.575426834779	258.429140095072	269.560690444692
rna-XM_006675769.1	9090.71497508625	8396.24469082742	8524.9571919982	1971.2430712612	1765.01604192591	1494.72617088926
rna-XM_006674971.1	7.31085427152718	8.90564774164979	10.1115515540199	0.98463689873187	2.74924617122417	3.64271203303638
MSTRG.78.2	0	0	0	0	0	0
MSTRG.79.1	17.9448241210213	18.7018602574646	10.1115515540199	6.89245829112309	5.49849234244833	8.49966141041821
rna-XM_006675163.1	45.1943718603498	32.9508966441042	41.3654381755358	1.96927379746374	4.12386925683625	1.21423734434546
MSTRG.81.1	1.32924623118676	1.78112954832996	0.919231959456351	0	0	1.21423734434546
MSTRG.82.1	2.65849246237352	4.4528238708249	6.43462371619446	1.96927379746374	0	0
rna-XM_006674822.1	0	0	0	0	0	0
MSTRG.83.1	1.99386934678014	1.78112954832996	0.919231959456351	0	1.37462308561208	2.42847468869092
rna-XM_006675858.1	0	0	0	0	0	0
rna-XM_006675595.1	0	0	0	0	0	0
rna-XM_006675859.1	23.2618090457683	32.9508966441042	25.7384948647778	8.86173208858683	5.49849234244833	12.1423734434546
rna-XM_006675164.1	24.5910552769551	8.90564774164979	15.626943310758	16.7388272784418	6.87311542806041	20.6420348538728
rna-XM_006676150.1	75.102412062052	90.8376069648279	107.550139256393	181.173189366664	133.338439304372	156.636617420564
rna-XM_006675619.1	53.1698492474704	62.3395341915485	52.396221689012	75.817041202354	89.3505005647854	74.068478005073
MSTRG.88.1	2.65849246237352	2.67169432249494	2.75769587836905	3.93854759492748	0	2.42847468869092
MSTRG.88.2	0	0	0	0	0	0
MSTRG.88.3	0	0	0	0	0	0
rna-XM_006676151.1	1.32924623118676	0.890564774164979	0	0	0	2.42847468869092
rna-XM_006676152.1	0	0	0	0	0	1.21423734434546
MSTRG.88.6	0	0	0	0	0	0
rna-XM_006675165.1	0	0	0	0	0	0
MSTRG.89.1	0	0	0	0	0	0
rna-XM_006675860.1	0	0	0	0	0	0
MSTRG.90.1	30.5726633172955	33.8414614182692	33.0923505404286	90.5865946833321	61.8580388525437	47.3552564294729
rna-XM_006674998.1	0	0	0	0	0	0
MSTRG.91.1	0	0	0	0	0	0
rna-XM_006675093.1	0	0	0	0	0	0
MSTRG.92.1	0	0	0	0	0	0
MSTRG.92.2	0	0	0	0	0	0
rna-XM_006675166.1	0	0.890564774164979	0	0	0	0
MSTRG.93.1	3.3231155779669	3.56225909665992	0.919231959456351	0.98463689873187	0	2.42847468869092
rna-XM_006675167.1	0	0	0	0	0	0
MSTRG.94.1	0	0.890564774164979	2.75769587836905	0	0	0
rna-XM_006674920.1	0	0	0	0	0	0
rna-XM_006675861.1	49.1821105539101	33.8414614182692	34.9308144593413	21.6620117721011	24.7432155410175	25.4989842312546
MSTRG.96.1	0.66462311559338	0	0	0.98463689873187	1.37462308561208	2.42847468869092
MSTRG.96.2	0	0	0	0	0	0
rna-XM_006675620.1	0	0	0	0	0	0
MSTRG.96.4	0	0	0	0	0	0
rna-XM_006674989.1	0	0	0	0	0	0
MSTRG.97.1	0	0	0	0	0	0
MSTRG.97.2	0	2.67169432249494	0.919231959456351	1.96927379746374	0	0
MSTRG.98.1	0	0	0	0	0	0
MSTRG.98.2	0	0	0	0	0	0
MSTRG.98.3	0	0	0	0	0	0
MSTRG.98.4	1.99386934678014	0	0.919231959456351	1.96927379746374	0	0
rna-XM_006675621.1	0	0	0	0	0	0
MSTRG.98.6	4.65236180915366	5.34338864498987	3.6769278378254	1.96927379746374	1.37462308561208	2.42847468869092
MSTRG.99.1	6.6462311559338	4.4528238708249	8.27308763510716	2.95391069619561	4.12386925683625	3.64271203303638
rna-XM_006675862.1	0	0	0	0	0	0
MSTRG.100.1	0	0.890564774164979	0	0	0	0
MSTRG.100.2	0	0	0	0	0	0
MSTRG.100.3	0	0	0	0	0	0
MSTRG.100.4	0	0	0	0	0	0
