GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj.
rna-XM_006683416.1	83.34459615	-7.046345986	0.781096482	-9.021095537	1.86E-19	3.74E-18
rna-XM_006679674.1	20.29300896	-6.455173918	1.059301421	-6.093802758	1.10E-09	8.96E-09
rna-XM_006675403.1	104.3147062	-6.210467365	0.564683945	-10.99812988	3.90E-28	1.43E-26
rna-XM_006678549.1	884.5073721	-6.061618003	0.229308702	-26.43431299	5.53E-154	3.07E-150
MSTRG.5830.1	10.82866739	-5.591623118	1.09675072	-5.098353722	3.43E-07	2.08E-06
rna-XM_006680989.1	10.13556561	-5.541393722	1.086442248	-5.10049543	3.39E-07	2.06E-06
rna-XM_006676553.1	10.01360502	-5.515548724	1.092585697	-5.048161199	4.46E-07	2.66E-06
rna-XM_006675364.1	193.5600317	-5.511518114	0.360337585	-15.29542945	8.20E-53	1.23E-50
rna-XM_006677174.1	9.822176784	-5.499209453	1.09007379	-5.044804766	4.54E-07	2.70E-06
rna-XM_006677296.1	9.405184338	-5.439662274	1.09024917	-4.989375295	6.06E-07	3.54E-06
MSTRG.6243.1	12.576843	5.295674175	1.06286436	4.982455312	6.28E-07	3.66E-06
rna-XM_006675786.1	1551.38076	5.330879816	0.302596833	17.61710379	1.82E-69	7.22E-67
MSTRG.5346.1	94.81410444	5.396177004	0.936344524	5.763025108	8.26E-09	6.10E-08
MSTRG.4809.1	226.8935171	5.430261036	0.40107986	13.53910176	9.19E-42	7.08E-40
rna-XM_006681470.1	695.5486336	5.531649039	0.660974193	8.368933464	5.81E-17	9.43E-16
MSTRG.677.1	7.814955041	5.626776033	1.107389364	5.081118	3.75E-07	2.26E-06
rna-XM_006678013.1	20462.04014	5.691503686	0.275555879	20.65462624	8.87E-95	8.20E-92
rna-XM_006676768.1	616.5946493	5.731088378	0.306763867	18.68241016	6.88E-78	4.24E-75
rna-XM_006683214.1	111.5326226	5.887263083	0.789462642	7.457304207	8.83E-14	1.09E-12
rna-XM_006683213.1	366.9111388	5.970787513	0.688171975	8.676301468	4.09E-18	7.29E-17
