	MutantReplicate1	MutantReplicate2	MutantReplicate3	WildtypeReplicate1	WildtypeReplicate2	WildtypeReplicate3
gene-BTH_RS00005	661.545435874667	698.886657235267	592.949863286545	424.094180796373	493.590883112985	435.084164548675
gene-BTH_RS00010	817.462269629415	869.448281917684	829.773682557147	670.512994077058	636.815096198527	678.11482866987
gene-BTH_RS00015	346.188224099526	296.194821399708	319.623124504309	277.088966006608	307.754507456537	237.103086947507
gene-BTH_RS00020	223.745060868396	212.16202094642	213.675626409566	261.225093906993	288.815768536135	286.894735206484
gene-BTH_RS00025	865.03011721561	886.920448348565	910.792357570774	2496.97346847939	2488.07682566785	2467.05761968881
gene-BTH_RS00030	481.844678326821	470.916485708525	484.331419861682	1362.17781762027	1519.83379836228	1255.46084538705
gene-BTH_RS34740	132.132909961651	155.585482027375	120.192539855381	270.743417166762	284.081083806034	213.392778252756
gene-BTH_RS00040	95.1356951723888	112.321069912811	94.3734016642248	90.952866704459	85.2243251418103	87.7281421705776
gene-BTH_RS00045	0	0	0	0	0	0
gene-BTH_RS00050	226.387719067629	257.090448911545	227.920668170203	276.0313745333	252.121961877855	232.361025208557
gene-BTH_RS00055	217.578858403519	246.274345882904	204.772475309167	162.86908688938	137.305857172917	144.632883037979
gene-BTH_RS00060	251.052528927137	278.722654968827	227.920668170203	139.602074476612	130.203830077766	131.592213255866
gene-BTH_RS00065	257.218731392014	282.050686669947	275.107369002316	163.926678362688	145.591555450593	167.157676297992
gene-BTH_RS00070	360.282401162102	343.619273140673	389.958018197457	255.937136540454	234.366894139978	244.216179555932
gene-BTH_RS00075	196.437592809655	210.49800509586	161.147034917214	102.586372910843	107.714077609788	60.4612871716143
gene-BTH_RS00080	156.797719821159	160.577529579055	118.411909635301	81.43454344469	56.8162167612069	65.2033489105644
gene-BTH_RS00085	215.817086270697	191.361822814418	177.172706897932	316.219850518991	332.611602289565	273.854065424371
gene-BTH_RS00090	115.396074699842	110.657054062251	109.508758534902	105.759147330766	81.6733115942349	85.3571113011025
MSTRG.18.1	17.6177213282202	14.1441347297614	10.6837813204783	28.5549697793069	30.7754507456537	29.6378858684384
gene-BTH_RS00095	0	0	0	0	0	0
