GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS35560	13.5773254	-4.176095779	0.715850654	-5.833752834	5.42E-09	2.09E-08
gene-BTH_RS08725	91.61982362	-3.872662727	0.327784495	-11.81466112	3.28E-32	5.55E-31
gene-BTH_RS00805	136.7199113	-3.82208239	0.287867155	-13.27724378	3.14E-40	7.30E-39
gene-BTH_RS33340	49.73111641	-3.692334046	0.405278352	-9.110612567	8.19E-20	7.34E-19
gene-BTH_RS31535	24.47454272	-3.63309683	0.536538554	-6.771362101	1.28E-11	6.24E-11
gene-BTH_RS28815	260.891798	-3.614144298	0.208951163	-17.29659818	4.99E-67	3.69E-65
gene-BTH_RS11435	196.1190736	-3.588508386	0.224370421	-15.99367852	1.41E-57	7.02E-56
gene-BTH_RS35575	91.57946669	-3.579571369	0.320897861	-11.15486203	6.78E-29	9.73E-28
gene-BTH_RS09380	63.78014736	-3.481618802	0.348523384	-9.98962756	1.69E-23	1.84E-22
gene-BTH_RS35150	388.5379573	-3.48094046	0.214431547	-16.23334115	2.93E-59	1.62E-57
gene-BTH_RS18795	4785.482313	3.488029754	0.373072959	9.349457437	8.81E-21	8.39E-20
gene-BTH_RS07990	1536.489278	3.569007073	0.189509561	18.8328602	4.06E-79	4.49E-77
gene-BTH_RS25870	10933.72524	3.661818562	0.107885672	33.94165766	1.62E-252	2.39E-249
gene-BTH_RS08575	846.7952099	3.718754513	0.204863198	18.15237951	1.23E-73	1.13E-71
gene-BTH_RS30285	3006.090505	3.858971871	0.122898011	31.39979106	2.04E-216	2.25E-213
gene-BTH_RS30280	1141.564684	3.904972771	0.144087854	27.10133202	9.50E-162	3.82E-159
gene-BTH_RS08570	1903.106706	3.943775835	0.148035201	26.64079756	2.29E-156	8.43E-154
gene-BTH_RS05960	1125.143996	4.050954821	0.138470791	29.25494096	3.89E-188	2.45E-185
gene-BTH_RS24640	1865.647804	4.198966646	0.1801163	23.31253	3.31E-120	8.60E-118
gene-BTH_RS33970	4843.478329	4.909892162	0.296343828	16.56822816	1.18E-61	7.16E-60
