GeneID	Product	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS34510	product=hypothetical protein	gene-BTH_RS34510	16.18022386	-1.096958892	0.474023121	-2.314146388	0.020659694	0.034213505
gene-BTH_RS34530	product=hypothetical protein	gene-BTH_RS34530	13.55273777	-1.122983312	0.508827053	-2.207003942	0.027313784	0.044077008
gene-BTH_RS25840	"go_process=phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA"	gene-BTH_RS25840	1430.430206	3.349223178	0.117573487	28.48621113	1.74E-178	8.53E-176
gene-BTH_RS25845	product=ATP-binding protein	gene-BTH_RS25845	2579.53443	3.035799362	0.102940383	29.49084974	3.77E-191	3.33E-188
gene-BTH_RS25850	product=spore coat U domain-containing protein	gene-BTH_RS25850	2753.855565	3.105982147	0.107395719	28.92091202	6.52E-184	3.60E-181
gene-BTH_RS25855	go_function=fimbrial usher porin activity|0015473||IEA	gene-BTH_RS25855	6727.58458	3.133533978	0.106738689	29.35705897	1.94E-189	1.43E-186
gene-BTH_RS25860	inference=COORDINATES: similar to AA sequence:RefSeq:WP_009905896.1	gene-BTH_RS25860	10477.06628	3.287835064	0.096531201	34.05981735	2.90E-254	6.42E-251
gene-BTH_RS25865	product=spore coat U domain-containing protein	gene-BTH_RS25865	12601.82051	3.380989695	0.097785046	34.5757336	5.85E-262	2.59E-258
gene-BTH_RS25870	product=spore coat U domain-containing protein	gene-BTH_RS25870	10933.72524	3.661818562	0.107885672	33.94165766	1.62E-252	2.39E-249
gene-BTH_RS25875	product=spore coat U domain-containing protein	gene-BTH_RS25875	9190.13879	2.911656096	0.103252045	28.19950064	5.93E-175	2.62E-172
gene-BTH_RS26505	go_function=organic acid transmembrane transporter activity|0005342||IEA	gene-BTH_RS26505	18.20852555	-1.04269614	0.46340614	-2.250069756	0.024444518	0.039927852
gene-BTH_RS27925	product=transposase	gene-BTH_RS27925	9.338090551	-1.594500644	0.679809781	-2.345510007	0.019001069	0.031704312
gene-BTH_RS33115	gbkey=CDS	gene-BTH_RS33115	21.02492801	-1.05940284	0.453212709	-2.337540008	0.019411123	0.032364076
gene-BTH_RS33115	gbkey=CDS	gene-BTH_RS33115	21.02492801	-1.05940284	0.453212709	-2.337540008	0.019411123	0.032364076
gene-BTH_RS05345	product=DUF1064 domain-containing protein	gene-BTH_RS05345	1.596804747	-1.884775513	0.85487247	-2.204744661	0.027472017	0.044267706
gene-BTH_RS05960	product=Zn-dependent hydrolase	gene-BTH_RS05960	1125.143996	4.050954821	0.138470791	29.25494096	3.89E-188	2.45E-185
gene-BTH_RS06100	partial=true	gene-BTH_RS06100	15.59238407	-1.117423372	0.494119678	-2.261442767	0.023731853	0.038893137
gene-BTH_RS30080	go_process=DNA modification|0006304||IEA	gene-BTH_RS30080	2.476127794	-1.90090729	0.842721629	-2.2556764	0.024090905	0.039423102
gene-BTH_RS30285	go_function=[acyl-carrier-protein] S-malonyltransferase activity|0004314||IEA	gene-BTH_RS30285	3006.090505	3.858971871	0.122898011	31.39979106	2.04E-216	2.25E-213
